ID,Nhà cung cấp,Ngày nhập gần đây,Đơn giá nhập,Tổng nhập,ID Khach hang,Ngày,Đơn giá MIN,Tổng nhập
GWT-149A,NK-TS,2022-02-26 00:00:00,448348,40,NK-TS,2022-02-26 00:00:00,448348,40
13711-0C031-FUJI,HTAUTOHN,2022-02-28 00:00:00,130000,3,HTAUTOHN,2022-02-28 00:00:00,130000,3
90916-02705,HTAUTOHN,2022-02-28 00:00:00,380000,3,HTAUTOHN,2022-02-28 00:00:00,380000,3
FE193J,HTAUTOHN,2022-02-28 00:00:00,40000,50,HTAUTOHN,2022-02-23 00:00:00,40000,10
FE193J,HTAUTOHN,2022-02-28 00:00:00,40000,50,HTAUTOHN,2022-02-28 00:00:00,40000,50
04152-37010,CHPT-MINHANH,2022-03-01 00:00:00,95000,4,CHPT-MINHANH,2022-03-01 00:00:00,95000,4
48010-50203,HTAUTOHN,2022-03-01 00:00:00,10800000,1,HTAUTOHN,2022-01-17 00:00:00,10800000,1
48010-50203,HTAUTOHN,2022-03-01 00:00:00,10800000,1,HTAUTOHN,2022-03-01 00:00:00,10800000,1
64119238084,NCC-NAMCHAU,2022-03-01 00:00:00,1750000,1,NCC-NAMCHAU,2022-03-01 00:00:00,1750000,1
16410-0D390,HTAUTOHN,2022-03-02 00:00:00,4300000,1,HTAUTOHN,2022-03-02 00:00:00,4300000,1
45503-02130,CHPT-MINHANH,2022-03-03 00:00:00,950000,2,CHPT-MINHANH,2022-03-03 00:00:00,950000,2
04152-31080,HTAUTOHN,2022-03-04 00:00:00,145000,10,HTAUTOHN,2022-03-04 00:00:00,145000,10
16577-0D030,CHPT-MINHANH,2022-03-04 00:00:00,75000,3,CHPT-MINHANH,2022-03-04 00:00:00,75000,3
415041100#E,KL-QUANGSAIGON,2022-03-04 00:00:00,7300000,1,KL-QUANGSAIGON,2022-03-04 00:00:00,7300000,1
48815-50200,CHPT-MINHANH,2022-03-04 00:00:00,250000,8,CHPT-MINHANH,2022-03-04 00:00:00,250000,8
ZA-40BWD12JCA88,NCC-VUGIA,2022-03-04 00:00:00,280000,20,NCC-VUGIA,2022-03-04 00:00:00,280000,20
31230-71030,HTAUTOHN,2022-03-05 00:00:00,960000,3,HTAUTOHN,2022-03-05 00:00:00,960000,3
48531-69795,HTAUTOHN,2022-03-05 00:00:00,870000,2,HTAUTOHN,2022-03-05 00:00:00,870000,2
83320-52261,CHPT-MINHANH,2022-03-05 00:00:00,770000,1,CHPT-MINHANH,2022-03-05 00:00:00,770000,1
46420-0K070,HTAUTOHN,2022-03-07 00:00:00,550000,1,HTAUTOHN,2022-03-07 00:00:00,550000,1
13568-39016,HTAUTOHN,2022-03-08 00:00:00,600000,5,HTAUTOHN,2022-03-08 00:00:00,600000,5
17801-31131,CHPT-MINHANH,2022-03-08 00:00:00,490000,1,CHPT-MINHANH,2022-03-08 00:00:00,490000,1
47028-60020,HTAUTOHN,2022-03-08 00:00:00,3900000,1,HTAUTOHN,2022-03-08 00:00:00,3900000,1
04478-02271,HTAUTOHN,2022-03-09 00:00:00,500000,1,HTAUTOHN,2022-03-09 00:00:00,500000,1
12364-28010,HTAUTOHN,2022-03-09 00:00:00,360000,2,HTAUTOHN,2022-03-09 00:00:00,360000,2
31210-12340,CHPT-MINHANH,2022-03-09 00:00:00,1600000,1,CHPT-MINHANH,2022-03-09 00:00:00,1600000,1
43212-0K030,HTAUTOHN,2022-03-09 00:00:00,3370000,1,HTAUTOHN,2022-03-09 00:00:00,3370000,1
A1N011T,HTAUTOHN,2022-03-09 00:00:00,255000,50,HTAUTOHN,2022-03-09 00:00:00,255000,50
A1N065T,HTAUTOHN,2022-03-09 00:00:00,210000,20,HTAUTOHN,2022-03-09 00:00:00,210000,20
A1N068T,HTAUTOHN,2022-03-09 00:00:00,162000,10,HTAUTOHN,2022-03-09 00:00:00,162000,10
A1N154T,HTAUTOHN,2022-03-09 00:00:00,248000,20,HTAUTOHN,2022-03-09 00:00:00,248000,20
K1N009T,HTAUTOHN,2022-03-09 00:00:00,262000,20,HTAUTOHN,2022-03-09 00:00:00,262000,20
TYT-320,CHUTUSG,2022-03-09 00:00:00,210000,2,CHUTUSG,2022-03-09 00:00:00,210000,2
17610-0C040,HTAUTOHN,2022-03-10 00:00:00,4950000,1,HTAUTOHN,2022-03-10 00:00:00,4950000,1
90311-50037-A,CHPT-MINHANH,2022-03-10 00:00:00,40000,10,CHPT-MINHANH,2022-03-10 00:00:00,40000,10
90311-89003-A,CHPT-MINHANH,2022-03-10 00:00:00,70000,10,CHPT-MINHANH,2022-03-10 00:00:00,70000,10
17428509740,NCC-NAMCHAU,2022-03-11 00:00:00,6000000,1,NCC-NAMCHAU,2022-03-11 00:00:00,6000000,1
31420-0K030,HTAUTOHN,2022-03-12 00:00:00,765000,1,HTAUTOHN,2022-03-12 00:00:00,765000,1
3461-8511,NCC-PHUONGSAKURA,2022-03-12 00:00:00,1200000,1,NCC-PHUONGSAKURA,2022-03-12 00:00:00,1200000,1
